feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
164,manhole,6051095.575662753,2139003.9289865294,129.71707550096494,4,4,0.089,26.73,0.97,0.642,4
165,manhole,6050945.853104013,2138790.9974967455,122.97253250427781,7,18,0.118,26.99,0.96,0.615,7
166,manhole,6050940.569855926,2138647.0349385436,122.74680431659493,6,11,0.082,42.57,0.97,0.653,6
167,manhole,6050925.662106203,2138602.8887113174,121.87341846766915,8,203,0.116,68.25,0.96,0.671,8
168,manhole,6050903.835318906,2138532.92805958,121.00280858305192,4,5,0.085,42.39,0.97,0.637,4
169,manhole,6050893.621499287,2138350.466887025,119.86437255699515,7,19,0.114,50.64,0.96,0.696,7
170,manhole,6050840.490028322,2138349.8497847165,118.4609987664507,7,19,0.093,42.36,0.97,0.724,7
171,manhole,6050834.626405656,2138356.524923321,118.64811350434128,6,47,0.23,57.76,0.93,0.709,5
172,manhole,6050837.6809683535,2138363.2893469455,118.17037645757183,5,7,0.086,58.18,0.97,0.801,5
173,manhole,6050582.304993552,2137445.353639172,110.20956829078781,8,102,0.273,65.0,0.92,0.763,7
174,manhole,6050569.187627649,2137493.639126367,110.93939487467536,6,14,0.081,52.65,0.97,0.612,6
175,manhole,6050554.578561813,2137452.515230033,110.12132515348607,7,17,0.094,38.38,0.97,0.635,7
176,manhole,6050557.548159065,2137457.1801745375,110.02315529583153,5,6,0.182,22.85,0.94,0.649,5
177,manhole,6050534.711994912,2137387.5304580787,109.47078949642966,8,213,0.252,63.17,0.92,0.689,7
178,manhole,6050530.462739784,2137393.405849255,109.57921544940956,8,128,0.212,51.4,0.93,0.686,7
179,manhole,6050513.862097876,2137350.033125816,108.85253532328153,8,24,0.049,45.05,0.98,0.651,8
180,manhole,6050472.171530127,2137290.274081247,107.3617684152238,4,515,0.161,96.63,0.95,0.735,4
181,manhole,6050438.7683677925,2137290.535909598,106.48377696005605,8,60,0.175,88.94,0.94,0.652,8
182,manhole,6050161.700907593,2135710.5482306164,87.75253563895728,8,114,0.111,47.93,0.96,0.785,8
183,manhole,6050293.073642039,2135521.07764402,88.16567230204538,8,31,0.279,81.57,0.92,0.718,6
184,manhole,6050252.617167545,2135437.374395878,87.8054839997431,5,6,0.067,28.93,0.98,0.575,5
185,manhole,6050260.392033068,2135377.879229345,87.49922013722173,8,19,0.108,23.71,0.96,0.615,8
186,manhole,6050261.599211419,2135354.550906082,86.87045115436361,8,130,0.148,75.56,0.95,0.72,8
187,manhole,6050359.468655828,2135070.8670645608,90.21833337172453,8,22,0.132,47.75,0.96,0.695,7
188,manhole,6050411.197413143,2135043.019363911,90.17802043309956,8,406,0.157,82.36,0.95,0.792,8
189,manhole,6050431.6330007585,2135121.881786753,90.20067727299305,4,3,0.057,24.96,0.98,0.707,4
190,manhole,6050417.468612506,2135220.400905091,89.57888870138639,5,8,0.278,24.48,0.91,0.638,4
191,manhole,6050382.630846061,2135328.8786047404,88.8522188932428,8,33,0.292,85.94,0.91,0.691,7
192,manhole,6050376.4125920795,2135371.3439321048,88.4482566630566,8,180,0.165,70.18,0.95,0.728,8
193,manhole,6050389.019114531,2135368.142378121,88.7154573759439,8,91,0.161,81.27,0.95,0.753,8
194,manhole,6050397.175951773,2135350.2114169835,88.52093590021778,8,114,0.256,59.82,0.92,0.724,6
195,manhole,6050343.504948094,2135624.864415903,87.52274077306183,8,31,0.128,64.52,0.96,0.748,8
